N/o,Data anuntului,IDNO,Denumirea,Adresa,Din,In
257,2025-07-09,1023600058799,"Societatea cu Răspundere Limitată ""IMPERIAL MASSAGE""","MD-2068, bd. Moscova 3/6, ap.(of.) 2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BOOKZONE DISTRIBUTION""","Societatea cu Răspundere Limitată ""IMPERIAL MASSAGE"""
258,2025-07-09,1024600032714,"Societatea cu Răspundere Limitată ""PREMIUM ADVISORY""","MD-2084, str. 60 ani ai Biruinţei 12, or. Cricova, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PREMIUMFLY""","Societatea cu Răspundere Limitată ""PREMIUM ADVISORY"""
259,2025-07-09,1024600045037,"Societatea cu Răspundere Limitată ""FIN- GROWTH & DEVELOPMENT""","MD-2059, str. Petricani 31, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ORIENT DIVA""","Societatea cu Răspundere Limitată ""FIN- GROWTH & DEVELOPMENT"""
260,2025-07-09,1017600014392,"Societatea cu Răspundere Limitată ""HUDSON SYSTEMS""","MD-2045, str. Nicolae Dimo 29/1, ap.(of.) 15, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""LTL TRANSPORT""","Societatea cu Răspundere Limitată ""HUDSON SYSTEMS"""
261,2025-07-10,1020600005002,"Societatea cu Răspundere Limitată ""DAVA ESTATE CONS""","MD-2064, str. Ştefan Neaga 67, ap.(of.) 133, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""RADIUS ADVERT""","Societatea cu Răspundere Limitată ""DAVA ESTATE CONS"""
262,2025-07-11,1013600004485,"Societatea cu Răspundere Limitată ""GEEX""","MD-2051, str. Alba-Iulia 21, ap.(of.) 1, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""DUCONT EXPERT""","Societatea cu Răspundere Limitată ""GEEX"""
263,2025-07-11,1016600022853,"Societatea cu Răspundere Limitată ""RMG PRO""","MD-2001, str. Armenească 55, ap.(of.) 419, mun. Chişinău, Republica Moldova","ORGANIZATIA DE CREDITARE NEBANCARA ""RMG-CREDIT"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""RMG PRO"""
264,2025-07-14,1003600070106,"Asociaţia de Proprietari din Condominiu ""A0110-0264""","MD-2072, str. Independenţei 38/1, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.51/115"" COOP","Asociaţia de Proprietari din Condominiu ""A0110- 0264"""
265,2025-07-15,1003600073130,"Asociaţia de Proprietari din Condominiu ""A0130-0243""","MD-2028, str. Gheorghe Asachi 77, ap.(of.) 48, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.50/182""","Asociaţia de Proprietari din Condominiu ""A0130- 0243"""
266,2025-07-15,1009600038742,"ENTITATEA DE AUDIT ""A PLUS AUDIT & CONSULTING"" Societatea cu Răspundere Limitată","MD-2003, str. Nicolai Gribov 32, or. Durleşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""A PLUS IMOBILE""","ENTITATEA DE AUDIT ""A PLUS AUDIT & CONSULTING"" Societatea cu Răspundere Limitată"
267,2025-07-17,1005602005869,"Asociaţia de Proprietari din Condominiu ""A0300-0130""","MD-3100, str. Mihai Viteazul 42, mun. Bălţi, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR. 47/47"" COOP","Asociaţia de Proprietari din Condominiu ""A0300- 0130"""
268,2025-07-17,1005600016656,"Asociaţia de Proprietari din Condominiu ""A0151-0010""","MD-2084, str. Nicolae Milescu-Spătarul 3, or. Cricova, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.52/289"" COOP","Asociaţia de Proprietari din Condominiu ""A0151- 0010"""
269,2025-07-18,1003604000129,"Societatea cu Răspundere Limitată ""MDV-CONSTRUCT""","MD-4601, str. Independenţei 14, mun. Edineţ, r- l Edineţ, Republica Moldova","SOCIETATEA PE ACTIUNI ""MDV- CONSTRUCT""","Societatea cu Răspundere Limitată ""MDV- CONSTRUCT"""
270,2025-07-21,1024600088043,"Societatea cu Răspundere Limitată ""BVS IMPEX""","MD-6525, str. Vladimir Maiakovski 6, ap.(of.) 4, s. Maximovca, r-l Anenii Noi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""VOZIAN ALEX""","Societatea cu Răspundere Limitată ""BVS IMPEX"""
271,2025-07-22,1003602009140,"Societatea cu Răspundere Limitată ""FOODRETAIL""","MD-3100, str. Ştefan cel Mare 160, mun. Bălţi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ELECTROTEHNICA""","Societatea cu Răspundere Limitată ""FOODRETAIL"""
272,2025-07-22,1019602004953,"Societatea cu Răspundere Limitată ""PRICONEX GLOBAL""","MD-3100, str. Alexandr Pokrîşkin 84, mun. Bălţi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TUTUIANU-FAMILY""","Societatea cu Răspundere Limitată ""PRICONEX GLOBAL"""
273,2025-07-23,1015600026500,"Societatea cu Răspundere Limitată ""ALINTERO""","MD-2075, bd. Mircea cel Batrîn 33, ap.(of.) 72, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""LAZIAR DEV""","Societatea cu Răspundere Limitată ""ALINTERO"""
274,2025-07-23,1019600023080,"Societatea cu Răspundere Limitată ""TRIDEVI CAPITAL""","MD-2004, str. Mitropolit Petru Movilă 23/5, ap.(of.) 7, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""EUROSALT GROUP""","Societatea cu Răspundere Limitată ""TRIDEVI CAPITAL"""
275,2025-07-24,1020604001600,"Societatea cu Răspundere Limitată ""OLMI DUO GROUP""","MD-5101, str. Nadejda Krupskaia 4, or. Donduşeni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""LIVREZACUM""","Societatea cu Răspundere Limitată ""OLMI DUO GROUP"""
276,2025-07-24,1002600050808,"Asociaţia de Proprietari din Condominiu ""A0120-0285""","MD-2051, str. Suceviţa 22/2, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR. 53/101"" COOP.","Asociaţia de Proprietari din Condominiu ""A0120- 0285"""
277,2025-07-24,1014600018610,"Societatea cu Răspundere Limitată ""M373""","MD-2032, str. Sarmizegetusa 94/5, ap.(of.) 45, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""WGD FACTORY""","Societatea cu Răspundere Limitată ""M373"""
278,2025-07-24,1025605002159,"Societatea cu Răspundere Limitată ""DORINŢA NOASTRĂ""","MD-6301, str. Unirii 80, or. Leova, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CELEBI""","Societatea cu Răspundere Limitată ""DORINŢA NOASTRĂ"""
279,2025-07-24,1006600019388,"Societatea cu Răspundere Limitată ""SMART SYNTAX CODE""","MD-2060, bd. Dacia 38/8, ap.(of.) 90, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""ARDICON"" S.R.L.","Societatea cu Răspundere Limitată ""SMART SYNTAX CODE"""
280,2025-07-25,1011600020131,"Broker de asigurare şi/sau de reasigurare ""PROFASIG-PLUS"" Societate cu Răspundere Limitată","MD-2009, str. Vasile Alecsandri 11, ap.(of.) 7, mun. Chişinău, Republica Moldova","AGENT DE ASIGURARE ""PROFASIG-PLUS"" SOCIETATE CU RASPUNDERE LIMITATA","Broker de asigurare şi/sau de reasigurare ""PROFASIG-PLUS"" Societate cu Răspundere Limitată"
281,2025-07-25,1002600015234,"Societatea cu Răspundere Limitată ""WASTE ENERGY NOVA""","MD-2055, str. Plopilor 6/A, or. Vatra, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""COOPERATOR-1""","Societatea cu Răspundere Limitată ""WASTE ENERGY NOVA"""
282,2025-07-25,1025600036317,"Societatea cu Răspundere Limitată ""JOLLY DAY""","MD-4225, str. 31 August 142, s. Olăneşti, r-l Ştefan Vodă, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""JOLLY CONSTRUCT""","Societatea cu Răspundere Limitată ""JOLLY DAY"""
283,2025-07-30,1021600049539,"Societatea cu Răspundere Limitată ""EURODRIVE TEAM""","MD-2075, bd. Mircea cel Batrîn 32, ap.(of.) 47, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AMBER ASIG GRUP""","Societatea cu Răspundere Limitată ""EURODRIVE TEAM"""
284,2025-07-30,1005600009988,"Asociaţia de Proprietari din Condominiu ""A0111-0005""","MD-2091, str. Şleahul Puhoiului 3, or. Sîngera, mun. Chişinău, Republica Moldova","ASOCIATIA DE PROPRIETARI AI LOCUINTELOR PRIVATIZATE ""NR.51/353"" COOP","Asociaţia de Proprietari din Condominiu ""A0111- 0005"""
285,2025-07-31,1002611001358,"Societatea cu Răspundere Limitată ""UNICAPS""","MD-2069, str. Calea Ieşilor 30 D, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA-FIRMA DE PRODUCTIE SI COMERT ""UNICAPS"" S.R.L.","Societatea cu Răspundere Limitată ""UNICAPS"""
286,2025-08-01,1002600007123,"Societatea pe Acţiuni ""FINGUARD""","MD-2032, str. Burebista 108, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI ""ASITO DIRECT""","Societatea pe Acţiuni ""FINGUARD"""
287,2025-08-01,1023600062950,"Societatea cu Răspundere Limitată ""LIAX TRADE""","MD-2029, sos. Munceşti 293B, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MIRDA TRADE""","Societatea cu Răspundere Limitată ""LIAX TRADE"""
288,2025-08-01,1019600029842,"Societatea cu Răspundere Limitată ""MODEST CAFE""","MD-2044, str. Ion Dumeniuk 20, ap.(of.) 55, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""KARIDAN COMERT""","Societatea cu Răspundere Limitată ""MODEST CAFE"""
289,2025-08-04,1013600001082,"Societatea cu Răspundere Limitată ""NEO MERIDIAN""","MD-6801, str. Valeriu Cupcea 27, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GEOLIA""","Societatea cu Răspundere Limitată ""NEO MERIDIAN"""
290,2025-08-05,1022600033544,"Societatea cu Răspundere Limitată ""BIC GLOBAL TRADE""","MD-2023, str. Uzinelor 90, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NATADI STYLE""","Societatea cu Răspundere Limitată ""BIC GLOBAL TRADE"""
291,2025-08-05,1023600005748,"Societatea cu Răspundere Limitată ""GETCORE""","MD-6801, str. Alexandru Cristea 34, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""LEGAL INNOVATION""","Societatea cu Răspundere Limitată ""GETCORE"""
292,2025-08-05,1023605000014,"Societatea cu Răspundere Limitată ""BUCŞA SHEEP FARM""","MD-3401, str. Barbu Lăutaru 2, ap.(of.) 25, mun. Hînceşti, r-l Hînceşti, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""FERMA ADRIAN BUCSA""","Societatea cu Răspundere Limitată ""BUCŞA SHEEP FARM"""
293,2025-08-05,1016600034283,"Centrul Medical ""VERTEBRO MED"" Societate cu Răspundere Limitată","MD-2001, str. Tiraspol 2, ap.(of.) 1, mun. Chişinău, Republica Moldova","CENTRUL DE REABILITARE ""VERTEBRO MED"" SOCIETATE CU RASPUNDERE LIMITATA","Centrul Medical ""VERTEBRO MED"" Societate cu Răspundere Limitată"
294,2025-08-06,1003600093741,"Societatea cu Răspundere Limitată ""STATICS""","MD-2044, str. Alecu Russo 63/4, ap.(of.) 89, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""STATICS"" S.R.L.","Societatea cu Răspundere Limitată ""STATICS"""
295,2025-08-06,1025600044842,"Societatea cu Răspundere Limitată ""SV MOB-DESIGN""","MD-2081, str. Sfîntul David 9, s. Bubuieci, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ARMONIA-SERVICE""","Societatea cu Răspundere Limitată ""SV MOB- DESIGN"""
296,2025-08-06,1016600037723,"Societatea cu Răspundere Limitată ""TEHNO CAPITAL CONSTRUCT""","MD-2084, str. Chişinău 80, or. Cricova, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BROKER UNION""","Societatea cu Răspundere Limitată ""TEHNO CAPITAL CONSTRUCT"""
297,2025-08-07,1020600007707,"Societatea cu Răspundere Limitată ""CASA RIMANI""","MD-2023, str. Uzinelor 11/W, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MASTER DOORS""","Societatea cu Răspundere Limitată ""CASA RIMANI"""
298,2025-08-07,1021600032078,"Societatea cu Răspundere Limitată ""OLIL PARTNER & CO""","MD-2008, str. Buiucani 5, ap.(of.) 18, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PEC-PARTENER CO""","Societatea cu Răspundere Limitată ""OLIL PARTNER & CO"""
299,2025-08-07,1008600028423,"Societatea cu Răspundere Limitată ""ADDCODE""","MD-2060, bd. Dacia 41, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""ES TECHNOSOFT"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""ADDCODE"""
300,2025-08-08,1002600041310,"Societatea cu Răspundere Limitată ""CHIMCOLOR""","MD-2002, str. Calea Basarabiei 26/6, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""CHIMCOLOR"" S.R.L.","Societatea cu Răspundere Limitată ""CHIMCOLOR"""
301,2025-08-08,1019603001362,"Societatea cu Răspundere Limitată ""GRAIN GROUP LOGISTICS""","MD-2065, str. Mioriţa 11, ap.(of.) 87, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BOGDAN DENIS""","Societatea cu Răspundere Limitată ""GRAIN GROUP LOGISTICS"""
302,2025-08-11,1011606004184,"Societatea cu Răspundere Limitată ""NEW BRAND""","MD-5401, str. 1 Mai 10/A, ap.(of.) 12, or. Rezina, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BAGHETE NOVA""","Societatea cu Răspundere Limitată ""NEW BRAND"""
303,2025-08-12,1003600058384,"Asociaţia de Proprietari din Condominiu ""A0140-0175""","MD-2075, str. Mihail Sadoveanu 26/1, ap.(of.) sc 1, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.54/427""","Asociaţia de Proprietari din Condominiu ""A0140- 0175"""
304,2025-08-12,1003600074779,"Asociaţia de Proprietari din Condominiu ""A0141-0010""","MD-2046, str. Pădurii 2/1, or. Vadul lui Vodă, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR.141""","Asociaţia de Proprietari din Condominiu ""A0141- 0010"""
305,2025-08-13,1007602005128,"Societatea cu Răspundere Limitată ""COD INVESTMENTS""","MD-2012, str. Vasile Alecsandri 113, ap.(of.) 5, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CENTURION-CONS""","Societatea cu Răspundere Limitată ""COD INVESTMENTS"""
306,2025-08-19,1002600038787,"Societatea cu Răspundere Limitată ""7EVEN HOLDING""","MD-2012, str. Maria Cebotari 28, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AER-COMUNICATIE""","Societatea cu Răspundere Limitată ""7EVEN HOLDING"""
307,2025-08-19,1003600023319,"Societatea cu Răspundere Limitată ""ACCENT-INVESTMENT""","MD-2001, str. Bulgară 33/1, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI ""ACCENT- INVESTMENT""","Societatea cu Răspundere Limitată ""ACCENT- INVESTMENT"""
308,2025-08-21,1022600018891,"Societatea cu Răspundere Limitată ""TALENTWEB""","MD-2032, str. Grădina Botanică 14/3, ap.(of.) 307, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TELLBYTEL""","Societatea cu Răspundere Limitată ""TALENTWEB"""
309,2025-08-22,1002600016080,"FIRMA DE AUDIT ""AUDIT-EXACT"" Societatea cu Răspundere Limitată","MD-2051, str. Onisifor Ghibu 1, ap.(of.) 125, mun. Chişinău, Republica Moldova","FIRMA DE AUDIT ""AUDIT-EXACT"" S.A.","FIRMA DE AUDIT ""AUDIT-EXACT"" Societatea cu Răspundere Limitată"
310,2025-08-22,1003602017446,"Asociaţia de Proprietari din Condominiu ""A0300-0124""","MD-3100, str. Elena Colesov 1, mun. Bălţi, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.47/55"" COOP.","Asociaţia de Proprietari din Condominiu ""A0300- 0124"""
311,2025-08-25,1024606008999,"Societatea cu Răspundere Limitată ""OTILIA FLOWERS-ROSSA ROOM""","MD-3541, str. Mihai Eminescu 184, s. Peresecina, r-l Orhei, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ROSSA ROOM""","Societatea cu Răspundere Limitată ""OTILIA FLOWERS-ROSSA ROOM"""
312,2025-08-26,1015600015166,"Societatea cu Răspundere Limitată ""ANDRANI HOME OFFICE""","MD-2071, str. Calea Ieşilor 10B, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""HERMON GROUP""","Societatea cu Răspundere Limitată ""ANDRANI HOME OFFICE"""
313,2025-08-28,1012609001538,"Asociaţia de Proprietari din Condominiu ""A2501-0013""","MD-4404, str. Călăraşilor 9, or. Călăraşi, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.19/8"" COOP.","Asociaţia de Proprietari din Condominiu ""A2501- 0013"""
314,2025-08-28,1022600024436,"Societatea cu Răspundere Limitată ""YVS- TOUR""","MD-2002, bd. Decebal 6/4, ap.(of.) 159, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""DR. DETAILING""","Societatea cu Răspundere Limitată ""YVS-TOUR"""
315,2025-08-28,1023600011774,"Societatea cu Răspundere Limitată ""ARSLAN GLOBAL""","MD-2001, bd. Dimitrie Cantemir 5/4, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""IN FLOW""","Societatea cu Răspundere Limitată ""ARSLAN GLOBAL"""
316,2025-08-28,1007600004633,"Societatea cu Răspundere Limitată ""AXISERA CONSULTING"" S.R.L.","MD-2012, str. Mihai Eminescu 72, ap.(of.) 105, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""IRADEX-TEXTIL"" S.R.L.","Societatea cu Răspundere Limitată ""AXISERA CONSULTING"" S.R.L."
317,2025-08-28,1007600017956,"Societatea cu Răspundere Limitată ""LOZMAX AUTO""","MD-2019, str. Sf. Nicolai 35, ap.(of.) 2, or. Codru, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""GEREZCOM"" S.R.L.","Societatea cu Răspundere Limitată ""LOZMAX AUTO"""
318,2025-08-28,1008600056318,"Societatea cu Răspundere Limitată ""AP2 DACUS GRUP""","MD-2023, str. Uzinelor 11, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CREADIVO""","Societatea cu Răspundere Limitată ""AP2 DACUS GRUP"""
319,2025-08-29,1011600000427,"Societatea cu Răspundere Limitată ""ASIA HUMAN RESOURCES""","MD-6801, str. Valea Trandafirilor 2, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""OLEG MARKET""","Societatea cu Răspundere Limitată ""ASIA HUMAN RESOURCES"""
320,2025-08-29,1002600002416,"Asociaţia de Proprietari din Condominiu ""A0120-0289""","MD-2064, str. Belinskii Vissarion 65, ap.(of.) 37, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/178"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0289"""
321,2025-08-29,1012602000174,"Societatea cu Răspundere Limitată ""GOSPODĂRIA COMUNALĂ RÎŞCANI""","MD-5601, str. Mihai Eminescu 4, or. Rîşcani, Republica Moldova","INTREPRINDEREA MUNICIPALA ""GOSPODARIA COMUNALA RISCANI""","Societatea cu Răspundere Limitată ""GOSPODĂRIA COMUNALĂ RÎŞCANI"""
322,2025-09-01,1003600071446,"Asociaţia de Proprietari din Condominiu ""A0121-0088""","MD-2003, str. Chimiştilor 15, or. Durleşti, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR.287""","Asociaţia de Proprietari din Condominiu ""A0121- 0088"""
323,2025-09-01,1023600008200,"Societatea cu Răspundere Limitată ""LUCCI MEDIA""","MD-2005, str. Alexandr Puşkin 41, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""RUSANDA STYLE""","Societatea cu Răspundere Limitată ""LUCCI MEDIA"""
324,2025-09-01,1023607006504,"Societatea cu Răspundere Limitată ""INVANTA""","MD-7401, str. Sadovaia 90, or. Taraclia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PANLEV""","Societatea cu Răspundere Limitată ""INVANTA"""
325,2025-09-01,1014600025078,"Societatea cu Răspundere Limitată ""ALIANSTEK""","MD-3401, str. Comisarul Mihai Moraru 75, ap.(of.) 4, mun. Hînceşti, r-l Hînceşti, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""LEGNO-GRUPPO""","Societatea cu Răspundere Limitată ""ALIANSTEK"""
326,2025-09-02,1020608002683,"Societatea cu Răspundere Limitată ""PRIMEINVEST-ADVISORY""","MD-6526, str. Albişoara 24, s. Mereni, r-l Anenii Noi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AGROMER SI CO""","Societatea cu Răspundere Limitată ""PRIMEINVEST-ADVISORY"""
327,2025-09-02,1021600026938,"Societatea cu Răspundere Limitată ""CLINICA DAC""","MD-2012, str. Bucureşti 47, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GHETIU RESEARCH""","Societatea cu Răspundere Limitată ""CLINICA DAC"""
328,2025-09-02,1022606001929,"Societatea cu Răspundere Limitată ""CARPO FRUITS""","MD-2071, str. Onisifor Ghibu 10, ap.(of.) 185, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TAURUS AGRICULTURA""","Societatea cu Răspundere Limitată ""CARPO FRUITS"""
329,2025-09-02,1024602012004,"Societatea cu Răspundere Limitată ""TROPICANO FRUITS""","MD-3100, str. Orhei 39, mun. Bălţi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MAGIC CARPET""","Societatea cu Răspundere Limitată ""TROPICANO FRUITS"""
330,2025-09-02,1024600067871,"Societatea cu Răspundere Limitată ""EAST COMMERCE""","MD-2025, str. Acad. Natalia Gheorghiu 30, ap.(of.) 262, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ITALDINO TRADE""","Societatea cu Răspundere Limitată ""EAST COMMERCE"""
331,2025-09-02,1015600041091,"Societatea cu Răspundere Limitată ""DEWATT ENERGY""","MD-2009, str. Vasile Alecsandri 47, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""STARON-MV""","Societatea cu Răspundere Limitată ""DEWATT ENERGY"""
332,2025-09-02,1018600006222,"Societatea cu Răspundere Limitată ""ZCS CONSULTING""","MD-2069, str. Pietrăriei 19 A, ap.(of.) 4, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GLOBAL CITIZENSHIP INVESTMENT UNIT""","Societatea cu Răspundere Limitată ""ZCS CONSULTING"""
333,2025-09-03,1012600006149,"Societatea cu Răspundere Limitată ""BIS- CONCERT GRUP""","MD-2028, sos. Hînceşti 59/1, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""BIS-CONCERT GRUP"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""BIS- CONCERT GRUP"""
334,2025-09-03,1003600043078,"Societatea cu Răspundere Limitată ""CONCERT-BIS""","MD-2043, str. Independenţei 1A, ap.(of.) 22, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""CONCERT-BIS"" S.R.L.","Societatea cu Răspundere Limitată ""CONCERT- BIS"""
335,2025-09-03,1009611000877,"Societatea cu Răspundere Limitată ""GA AGENCY ROOF""","MD-3801, str. Alexandr Suvorov 66, ap.(of.) 19, mun. Comrat, UTA Găgăuzia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CAPSANGRUP""","Societatea cu Răspundere Limitată ""GA AGENCY ROOF"""
336,2025-09-05,1025600052816,"Societatea cu Răspundere Limitată ""GOJINEVSCHI & SPAK""","MD-2012, str. Vasile Alecsandri 89/1, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GOJINEVSCHII & SPAK""","Societatea cu Răspundere Limitată ""GOJINEVSCHI & SPAK"""
337,2025-09-05,1007600004356,"Societatea Comercială ""TOPCONT- PROFI"" S.R.L.","MD-2075, bd. Mircea cel Batrîn 41/A, ap.(of.) 542, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""MIROSLAV SI COMPANIA"" S.R.L.","Societatea Comercială ""TOPCONT-PROFI"" S.R.L."
338,2025-09-05,1018600038724,"Societatea cu Răspundere Limitată ""BIAGRO EURO TRADING""","MD-2001, str. Ismail 58/1, ap.(of.) 24, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BIAGRO ECO TRADE""","Societatea cu Răspundere Limitată ""BIAGRO EURO TRADING"""
339,2025-09-09,1024602011096,"Societatea cu Răspundere Limitată ""STAVER-AGROCOM""","MD-5621, str. Libertăţii 2, s. Ciobanovca, r-l Rîşcani, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""FILCOVSCHI - AGROCOM""","Societatea cu Răspundere Limitată ""STAVER- AGROCOM"""
340,2025-09-09,1024600059634,"Societatea cu Răspundere Limitată ""ARTECO COM""","MD-3715, str. Mihai Viteazul 118/A, ap.(of.) 1, s. Cojuşna, r-l Străşeni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ARTECOLEMN""","Societatea cu Răspundere Limitată ""ARTECO COM"""
341,2025-09-10,1020600032875,"Societatea cu Răspundere Limitată ""DATA FORGE""","MD-2071, str. Dominte Timonu 27, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SPIRITS LAB""","Societatea cu Răspundere Limitată ""DATA FORGE"""
342,2025-09-10,1023600048396,"Societatea cu Răspundere Limitată ""QUBIX SOFT""","MD-6801, str. Alexandru Cristea 34, ap.(of.) 102, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TBS CONSULTING LAW FIRM & FINANCIAL ADVISORS""","Societatea cu Răspundere Limitată ""QUBIX SOFT"""
